id,Station,s,x,y,"Attempts or threats to murder, assaults, harassments and related offences 2010","Attempts or threats to murder, assaults, harassments and related offences 2011","Attempts or threats to murder, assaults, harassments and related offences 2012","Attempts or threats to murder, assaults, harassments and related offences 2013","Attempts or threats to murder, assaults, harassments and related offences 2014","Attempts or threats to murder, assaults, harassments and related offences 2015",Dangerous or negligent acts 2010,Dangerous or negligent acts 2011,Dangerous or negligent acts 2012,Dangerous or negligent acts 2013,Dangerous or negligent acts 2014,Dangerous or negligent acts 2015,Kidnapping and related offences 2010,Kidnapping and related offences 2011,Kidnapping and related offences 2012,Kidnapping and related offences 2013,Kidnapping and related offences 2014,Kidnapping and related offences 2015,"Robbery, extortion and hijacking offences 2010","Robbery, extortion and hijacking offences 2011","Robbery, extortion and hijacking offences 2012","Robbery, extortion and hijacking offences 2013","Robbery, extortion and hijacking offences 2014","Robbery, extortion and hijacking offences 2015",Burglary and related offences 2010,Burglary and related offences 2011,Burglary and related offences 2012,Burglary and related offences 2013,Burglary and related offences 2014,Burglary and related offences 2015,Theft and related offences 2010,Theft and related offences 2011,Theft and related offences 2012,Theft and related offences 2013,Theft and related offences 2014,Theft and related offences 2015,"Fraud, deception and related offences 2010","Fraud, deception and related offences 2011","Fraud, deception and related offences 2012","Fraud, deception and related offences 2013","Fraud, deception and related offences 2014","Fraud, deception and related offences 2015",Controlled drug offences 2010,Controlled drug offences 2011,Controlled drug offences 2012,Controlled drug offences 2013,Controlled drug offences 2014,Controlled drug offences 2015,Weapons and Explosives Offences 2010,Weapons and Explosives Offences 2011,Weapons and Explosives Offences 2012,Weapons and Explosives Offences 2013,Weapons and Explosives Offences 2014,Weapons and Explosives Offences 2015,Damage to property and to the environment 2010,Damage to property and to the environment 2011,Damage to property and to the environment 2012,Damage to property and to the environment 2013,Damage to property and to the environment 2014,Damage to property and to the environment 2015,Public order and other social code offences 2010,Public order and other social code offences 2011,Public order and other social code offences 2012,Public order and other social code offences 2013,Public order and other social code offences 2014,Public order and other social code offences 2015,"Offences against government, justice procedures and organisation of crime 2010","Offences against government, justice procedures and organisation of crime 2011","Offences against government, justice procedures and organisation of crime 2012","Offences against government, justice procedures and organisation of crime 2013","Offences against government, justice procedures and organisation of crime 2014","Offences against government, justice procedures and organisation of crime 2015"
20157,Ballon, Carlow ,282972,166461,7,5,4,6,1,4,6,7,2,2,2,4,0,0,0,0,0,0,1,4,1,0,1,0,35,33,44,25,28,26,31,32,18,25,11,14,2,2,0,0,2,0,26,3,2,4,0,1,0,0,1,0,0,0,8,9,9,4,1,2,8,4,2,5,1,1,0,1,3,1,0,1
20242,Borris, Carlow ,272594,150554,3,9,4,1,15,7,2,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,19,17,19,9,13,17,22,22,19,21,15,1,3,1,1,1,1,0,9,4,6,3,3,0,2,1,0,1,0,7,22,10,4,11,8,6,6,9,5,7,11,1,1,0,0,0,2
20154,Carlow, Carlow ,272198,177119,261,196,133,118,124,105,101,87,80,72,78,65,0,1,0,0,1,0,22,19,20,12,17,8,284,225,284,312,260,171,728,624,586,605,531,471,35,30,36,27,27,25,293,234,193,154,152,174,31,18,18,19,21,9,390,307,247,229,204,153,616,610,654,475,421,305,85,90,53,56,56,87
20169,Hacketstown, Carlow ,297234,180208,4,11,1,1,4,4,0,0,2,1,0,1,1,0,0,0,0,0,0,2,3,0,0,0,10,11,10,6,5,6,10,15,6,8,5,4,0,2,0,0,1,1,7,2,2,7,1,3,2,1,0,0,0,0,7,8,4,3,2,3,3,6,2,3,2,5,0,0,0,1,2,1
20159,Muine Bheag, Carlow ,270533,161598,39,27,24,11,13,15,8,5,16,7,5,8,0,0,0,0,0,0,1,0,3,2,1,2,47,63,72,52,24,23,92,122,66,68,49,41,2,5,6,2,3,5,16,24,14,14,7,6,4,8,0,2,1,1,67,88,49,33,18,28,92,75,29,19,20,20,2,3,2,2,2,2
20158,Myshall, Carlow ,282654,160255.01,7,4,1,6,5,0,1,1,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,10,7,8,9,11,7,16,18,14,20,5,1,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,10,5,2,1,2,3,1,0,2,2,0,1,0,0,0,0,0,2
20170,Rathvilly, Carlow ,287882,181820,4,5,3,1,2,1,1,7,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,5,9,6,10,14,8,9,2,9,6,8,4,0,0,1,1,0,0,3,5,2,2,0,2,0,1,0,1,0,0,15,15,3,6,3,2,1,3,2,9,4,1,1,0,1,0,0,1
20156,Tullow, Carlow ,285472,173250,24,16,17,14,17,20,14,16,19,13,9,8,0,0,0,0,1,0,1,1,2,0,2,1,51,65,67,67,40,76,61,69,81,62,57,66,4,3,5,1,1,2,13,14,4,13,9,15,3,3,1,3,1,3,44,46,35,33,24,26,35,40,49,47,32,15,3,2,2,1,5,4
20677,Arva, Cavan,227394,297403,3,3,3,1,6,3,4,3,3,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,31,17,3,8,4,7,7,10,8,3,7,12,3,2,1,0,1,4,0,0,1,0,0,2,0,2,0,0,2,0,7,10,2,5,6,2,17,9,7,6,15,12,0,1,0,0,1,2
20682,Bailieboro, Cavan,267755,296683,27,27,23,35,29,26,17,16,12,12,9,7,0,0,0,0,0,0,2,1,0,0,1,1,26,28,19,13,9,10,43,27,42,24,34,45,3,11,6,3,4,2,11,13,52,26,8,23,0,2,7,4,2,2,54,32,41,30,29,27,57,46,102,80,59,41,4,4,0,6,1,4
